name,top_keywords,x,y,discipline_en,discipline_sp
"Prystupa, Pablo","grain, barley, fertilisation, malt, nitrogen, fertilization, hordein",3.180782,2.0667036,Agronomy & Plant Sciences,Botánica y agronomía
"Prystupczuk, Lilen","comportamientos, skull, viperid, caiman, acuáticos, latirostris, overos",6.093329,3.3611195,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Pschunder, Fernando","og, nws, au, emissive, codoped, wax, cw",-4.543884,-0.3020403,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Psyrdellis, Mariana","memory, emotional, novelty, exposure, emocional, memoria, downshift",-2.5557148,3.4307308,"Psychology, Neurology & Public Health","Salud pública, psicología y neurobiología"
"Puca, Alberto","pallidum, vhb, amerindios, hiv, treponema, virus, cruzi",1.9516137,-2.8581107,Infectious Diseases & Microbiology,Microbiología y enfermedades infecciosas
"Pucci Alcaide, Ana","discoidalis, oreobates, leptodactylus, histology, folículos, kastschenko, spermatozoal",6.2288814,3.5296884,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Pucci Alcaide, Franco Jose","discoidalis, tongue, telmatobius, oreobates, oviducto, rubigo, oxycephalus",6.184324,3.5564299,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Pucci Molineris, Melisa Eliana","intestinal, ilc2, ige, acr, pep, transplantation, trasplante",0.46879745,-1.4224613,Cell Biology & Oncology,Biología celular
"Pucci, Graciela","petroleum, hlh1, istanbulin, streptomyces, contaminated, haps, soil",2.2226145,1.7387034,Agronomy & Plant Sciences,Botánica y agronomía
"Puccia, Virginia","nv, irst, surface, hdl, aniones, goethite, soils",-3.9660075,-0.6576527,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Pucciarelli Roman, Amada Beatriz","yateí, honey, tetragonisca, angustula, miel, microbiological, fiebrigi",1.843083,0.698191,Agronomy & Plant Sciences,Botánica y agronomía
"Pucciarelli, Hector Mario","cranial, facial, vault, craniofacial, variation, neurocranial, undernourished",3.198031,7.107204,Social Sciences & Humanities,Ciencias sociales y humanidades
"Pucheta, Celeste","golf, aula, crítico, estilo, nuevo, ensino, em",-1.095845,7.112829,Social Sciences & Humanities,Ciencias sociales y humanidades
"Pucheta, Daniela","corrientes, ebco, unne, ppsc, bonpland, centinelas, naturales",5.2252297,3.3675046,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Pucheta, Eduardo Raúl","aridity, retama, traits, grazed, plant, bulnesia, xylem",4.044775,2.6586454,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Pucheta, Julián Antonio","segmentation, series, distancing, confinement, control, algorithm, quarantining",-4.436309,2.704934,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Pucheta, Maria Florencia","cowled, xanthopsar, saffron, blackbird, flavus, nidos, nest",5.3930473,2.7979946,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Pucheta, Martín Alejo","kinematic, synthesis, graph, topological, dof, rigid, wavelet",-4.8178396,1.7268927,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Pucheu, Norma Lucrecia","soybean, rape, oilseed, photosynthetic, strains, bnm296, isolates",3.034555,0.651359,Agronomy & Plant Sciences,Botánica y agronomía
"Puchmüller, Andrea Bibiana","wuhan, clap, prietita, courter, transgressió, gao, cultural",-0.53228384,9.068587,Social Sciences & Humanities,Ciencias sociales y humanidades
"Puchulu, María Bernardita","epo, calcium, caveolin, hemorrhage, phosphorus, hypovolemia, enos",-0.56352985,0.13122904,Cell Biology & Oncology,Biología celular
"Puchulu, Maria Elena","pipe, leachate, landfill, piping, plume, collapse, pipes",3.229903,4.330876,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Puddington, Martin Miguel","reward, agnor, isnc, extinction, trials, toads, csnc",-2.4174814,3.2026474,"Psychology, Neurology & Public Health","Salud pública, psicología y neurobiología"
"Puebla, Andrea","maize, lambda, genetic, landraces, hnwa, fnea, ancient",0.28553522,3.2855296,"Psychology, Neurology & Public Health","Salud pública, psicología y neurobiología"
"Puebla, Andrea Fabiana","mhvr, quesos, shr, qtls, lisozima, sclerotinia, sunflower",3.7456777,0.7461545,Agronomy & Plant Sciences,Botánica y agronomía
"Puebla, Fabiana Alicia","1825, juan, 1829, san, fragua, newspapers, ingenuo",0.032954715,8.449256,Social Sciences & Humanities,Ciencias sociales y humanidades
"Puebla, Gabriela Griselda","fossil, cretaceous, cantera, des, larreoideae, du, carpolithus",6.1893587,5.272052,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Puebla, Lorena Ivana","mendoza, maf, asentamiento, rural, fundacional, molina, museo",2.7598863,7.8713737,Social Sciences & Humanities,Ciencias sociales y humanidades
"Pueblas Castro, Celeste Victoria","omp19, alum, vaccine, tctasv, adjuvant, rbd, formulation",0.9559879,-1.8700576,Infectious Diseases & Microbiology,Microbiología y enfermedades infecciosas
"Puello Socarrás, José Francisco","neoliberalismo, neoliberalism, politología, anti, política, neoliberal, political",-0.47321397,7.863983,Social Sciences & Humanities,Ciencias sociales y humanidades
"Puente Tapia, Francisco Alejandro","medusae, tetraphylla, octonaria, lineata, atlantic, burdwood, nmpa",5.1967473,4.2422194,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Puente, Andrea Florencia","litio, atacama, indígenas, explotación, territorio, pueblos, ancestralmente",0.96539325,6.835549,Social Sciences & Humanities,Ciencias sociales y humanidades
"Puente, M","gaba, az39t, acrosome, progesterone, receptor, argentinense, reaction",3.0030653,0.750299,Agronomy & Plant Sciences,Botánica y agronomía
"Puente, Mariana","b399, meliloti, improvenitrogen, fixing, alfalfa, ensifer, replicons",3.0946171,0.5869901,Agronomy & Plant Sciences,Botánica y agronomía
"Puente, Mariana L","az39, iaa, remobilization, azospirillum, grain, inoculation, b401",3.033736,0.93627274,Agronomy & Plant Sciences,Botánica y agronomía
"Puente, Mariana Laura","azospirillum, az39, amf, brasilense, plant, seyal, growth",3.0505092,0.77496815,Agronomy & Plant Sciences,Botánica y agronomía
"Puente, Vanesa Rocío","psilostachyin, cruzi, benznidazole, sesquiterpene, trypanosoma, deoxymikanolide, parasite",0.83032745,-2.4591708,Infectious Diseases & Microbiology,Microbiología y enfermedades infecciosas
"Puente, Veronica","antofagasta, paicuqui, catamarca, sierra, peña, cerámica, pottery",2.87945,7.907532,Social Sciences & Humanities,Ciencias sociales y humanidades
"Puentes, Graciana","spin, pqs, quantum, beam, squeezed, squeezing, qnd",-5.8109117,1.3893136,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Puentes, Hugo Alejandro","tala, balcosna, paisaje, catamarca, quebrada, valle, landscape",2.6853254,7.8628883,Social Sciences & Humanities,Ciencias sociales y humanidades
"Puentes, Jeremías Pedro","aires, buenos, products, productos, plantas, inmigrantes, immigrants",4.3446774,3.1225297,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Puentes, Juan Pablo","decolonial, intercultural, curruhuinca, interculturalidad, mapuce, interculturality, barrio",0.54190093,7.858196,Social Sciences & Humanities,Ciencias sociales y humanidades
"Puerta, Pablo","eocene, coracii, jurassic, hemisphere, pelagiceti, sapias, fossils",6.447088,4.6687584,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Puertas, Carlos Marcelo","rdi, hedgerows, fruit, sides, oil, hedgerow, arauco",2.6486187,1.8941576,Agronomy & Plant Sciences,Botánica y agronomía
"Puerto Mundt, Sebastián","luminescence, inca, dates, 14c, tawantinsuyu, quilicanta, chile",3.1056356,7.7368593,Social Sciences & Humanities,Ciencias sociales y humanidades
"Pueta, Mariana","tadpoles, renacuajos, pierottii, predation, thaul, caddisfly, cues",5.7689404,3.110325,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Puga Molina, Lis del Carmen","sperm, capacitation, ca2, tl, catsper, exocytosis, cftr",-0.24503662,1.6536379,Cell Biology & Oncology,Biología celular
"Puga, Mariela Gladys","civil, judicial, razones, inmobiliarios, reasons, discriminación, reforma",-0.59018767,7.514423,Social Sciences & Humanities,Ciencias sociales y humanidades
"Puglia, María de Las Nieves","prostitution, prostitución, money, dinero, mujeres, dobleta, sexuales",-0.93283963,7.69455,Social Sciences & Humanities,Ciencias sociales y humanidades
"Pugliese Solivellas, Verónica Lucía","acvip, comunicación, tácticas, pública, social, incidência, modalidades",-0.5221875,7.3514967,Social Sciences & Humanities,Ciencias sociales y humanidades
"Pugliese, Agustina Soledad","obligado, vuelta, 1845, 1846, archaeological, anglo, confederation",2.4702735,8.284053,Social Sciences & Humanities,Ciencias sociales y humanidades
"Pugliese, Irina","tamberos, agua, conductividad, perforaciones, contaminación, tambos, nitrates",3.218534,4.3930244,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Puglisi, Rodolfo Salvador","brochero, baba, brocheriano, sai, cura, zendo, betania",0.46263325,8.527001,Social Sciences & Humanities,Ciencias sociales y humanidades
"Pugnaloni, Luis Ariel","granular, flow, clogging, proppant, grains, orifice, intruder",-4.9919615,1.1612912,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Puiatti, Marcelo","dppc, znpc, tyrosinase, bicapa, mmts, pcs, taznpc",-3.368611,-1.2403041,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Puig, Alba","river, delta, flow, paraná, flood, pyrenoidosa, algal",3.7405071,4.2289863,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Puig, Joaquin Roberto","vortex, hyperuniform, nucleated, antinodal, bi2sr2cacu2o8, nodal, andreev",-5.896585,1.177736,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Puig, Julieta","epoxy, dgeba, chains, nps, graphene, alkyl, peo",-3.9575903,-0.21577723,"Physics, Chemistry & Astronomy","Física, química y astronomía"
